"CaseID","StandID","Year","Age","Tpa","BA","SDI","CCF","TopHt","QMD","MCuFt","SCuFt","SBdFt","RTpa","RMCuFt","RSCuFt","RSBdFt","ATBA","ATSDI","ATCCF","ATTopHt","ATQMD","PrdLen","Acc","Mort","MAI","ForTyp","SizeCls","StkCls","Stand_CN"
"74c7f1f0-7250-4e4b-8b75-57540dfe2e38","MBB_GROW",2016,65,2601,96,166,195,87,2.59633541107178,2648,1903,10092,0,0,0,0,96,166,195,87,2.59633541107178,5,17,419,40.7384605407715,520,1,2,"291609563489998"
"74c7f1f0-7250-4e4b-8b75-57540dfe2e38","MBB_GROW",2021,70,1017,30,67,79,73,2.32612752914429,638,319,1763,0,0,0,0,30,67,79,73,2.32612752914429,5,12,72,9.11428546905518,520,3,3,"291609563489998"
"74c7f1f0-7250-4e4b-8b75-57540dfe2e38","MBB_GROW",2026,75,772,28,75,92,68,2.56641340255737,342,58,316,0,0,0,0,28,75,92,68,2.56641340255737,5,17,13,4.55999994277954,520,3,3,"291609563489998"
"74c7f1f0-7250-4e4b-8b75-57540dfe2e38","MBB_GROW",2031,80,720,37,99,126,70,3.06996655464172,364,10,55,0,0,0,0,37,99,126,70,3.06996655464172,5,21,2,4.55000019073486,520,3,2,"291609563489998"
"74c7f1f0-7250-4e4b-8b75-57540dfe2e38","MBB_GROW",2036,85,698,48,122,159,74,3.54080510139465,456,103,437,0,0,0,0,48,122,159,74,3.54080510139465,5,55,1,5.36470603942871,520,3,2,"291609563489998"
"74c7f1f0-7250-4e4b-8b75-57540dfe2e38","MBB_GROW",2041,90,680,61,149,193,77,4.05955600738525,725,151,650,0,0,0,0,61,149,193,77,4.05955600738525,5,38,1,8.05555534362793,520,3,3,"291609563489998"
"74c7f1f0-7250-4e4b-8b75-57540dfe2e38","MBB_GROW",2046,95,663,72,168,216,80,4.44937515258789,913,266,1178,0,0,0,0,72,168,216,80,4.44937515258789,0,0,0,9.6105260848999,520,3,3,"291609563489998"
"e64b57e9-6032-4215-9442-6810619f6474","MBB_GROW",2016,69,1707,130,208,216,81,3.73091411590576,3492,2677,15594,0,0,0,0,130,208,216,81,3.73091411590576,5,29,415,50.6086959838867,997,1,2,"291609580489998"
"e64b57e9-6032-4215-9442-6810619f6474","MBB_GROW",2021,74,831,61,111,111,77,3.6816577911377,1565,1032,5511,0,0,0,0,61,111,111,77,3.6816577911377,5,27,66,21.1486492156982,503,1,3,"291609580489998"
"e64b57e9-6032-4215-9442-6810619f6474","MBB_GROW",2026,79,690,60,118,121,78,3.98467755317688,1370,819,4326,0,0,0,0,60,118,121,78,3.98467755317688,5,26,15,17.3417720794678,503,1,3,"291609580489998"
"e64b57e9-6032-4215-9442-6810619f6474","MBB_GROW",2031,84,654,70,142,152,80,4.42039918899536,1422,821,4484,0,0,0,0,70,142,152,80,4.42039918899536,5,29,7,16.9285717010498,801,1,3,"291609580489998"
"e64b57e9-6032-4215-9442-6810619f6474","MBB_GROW",2036,89,633,80,164,180,82,4.82159948348999,1537,1053,5604,0,0,0,0,80,164,180,82,4.82159948348999,5,53,5,17.2696628570557,801,1,3,"291609580489998"
"e64b57e9-6032-4215-9442-6810619f6474","MBB_GROW",2041,94,616,92,186,207,83,5.24680233001709,1774,1235,6583,0,0,0,0,92,186,207,83,5.24680233001709,5,76,2,18.8723411560059,801,1,2,"291609580489998"
"e64b57e9-6032-4215-9442-6810619f6474","MBB_GROW",2046,99,608,106,210,232,84,5.65267562866211,2141,1561,8144,0,0,0,0,106,210,232,84,5.65267562866211,0,0,0,21.6262626647949,801,1,2,"291609580489998"
"0e67380b-216b-485e-a7d5-f2a368cabe47","MBB_GROW",2016,65,4140,67,131,151,77,1.72005844116211,1495,806,4308,0,0,0,0,67,131,151,77,1.72005844116211,5,25,182,23,506,1,3,"291609583489998"
"0e67380b-216b-485e-a7d5-f2a368cabe47","MBB_GROW",2021,70,2292,52,137,158,72,2.04391264915466,712,135,741,0,0,0,0,52,137,158,72,2.04391264915466,5,23,31,10.1714286804199,511,2,3,"291609583489998"
"0e67380b-216b-485e-a7d5-f2a368cabe47","MBB_GROW",2026,75,1995,74,205,251,74,2.61456823348999,674,22,125,0,0,0,0,74,205,251,74,2.61456823348999,5,26,7,8.98666667938232,801,3,1,"291609583489998"
"0e67380b-216b-485e-a7d5-f2a368cabe47","MBB_GROW",2031,80,1811,98,260,336,76,3.14487242698669,766,4,21,0,0,0,0,98,260,336,76,3.14487242698669,5,24,3,9.57499980926514,801,3,1,"291609583489998"
"0e67380b-216b-485e-a7d5-f2a368cabe47","MBB_GROW",2036,85,1660,117,301,404,79,3.59634447097778,869,227,1021,0,0,0,0,117,301,404,79,3.59634447097778,5,65,3,10.2235298156738,801,3,2,"291609583489998"
"0e67380b-216b-485e-a7d5-f2a368cabe47","MBB_GROW",2041,90,1539,139,341,457,81,4.06661605834961,1179,524,2463,0,0,0,0,139,341,457,81,4.06661605834961,5,51,9,13.1000003814697,801,3,1,"291609583489998"
"0e67380b-216b-485e-a7d5-f2a368cabe47","MBB_GROW",2046,95,1339,150,354,461,83,4.5312123298645,1390,639,3015,0,0,0,0,150,354,461,83,4.5312123298645,0,0,0,14.6315793991089,801,3,1,"291609583489998"
